anyaca,quadri,codgrup,codass,dia,h_i,h_f,tpla,setmana,ordre,id,sigles_ud,nom,grau,codaul
2021,1,E70,340221,1,17:00,19:00,T,,,560627,VEEH-E7P09,VEHICLES ELÈCTRICS I HÍBRIDS,E,VGA213
2021,1,E70,340221,5,15:00,17:00,T,2,,560305,VEEH-E7P09,VEHICLES ELÈCTRICS I HÍBRIDS,E,VGA213
2021,1,E7011,340221,5,15:00,17:00,L,1,,560633,VEEH-E7P09,VEHICLES ELÈCTRICS I HÍBRIDS,E,VGA213
2021,1,K70,340221,1,17:00,19:00,T,,,560377,VEEH-E7P09,VEHICLES ELÈCTRICS I HÍBRIDS,K,VGA213
2021,1,K70,340221,5,15:00,17:00,T,2,,560378,VEEH-E7P09,VEHICLES ELÈCTRICS I HÍBRIDS,K,VGA213
2021,1,K7011,340221,5,15:00,17:00,L,1,,560379,VEEH-E7P09,VEHICLES ELÈCTRICS I HÍBRIDS,K,VGA213
2021,1,M70,340666,1,10:30,12:30,T,1,,560646,TMAO,TEORIA DE MAQUINES ASSISTIDA PER ORDINADOR,M,VGA027
2021,1,M70,340666,1,8:30,10:30,T,,,560643,TMAO,TEORIA DE MAQUINES ASSISTIDA PER ORDINADOR,M,VGA116
2021,1,M7011,340666,1,10:30,12:30,L,2,,560644,TMAO,TEORIA DE MAQUINES ASSISTIDA PER ORDINADOR,M,VGA116
2021,1,M70,340203,2,17:00,19:00,T,,,560301,TESA-M7P37,TÈCNIQUES EXPERIMENTALS I DE SIMULACIÓ D'ANÀLISI DE TENSIONS,M,VGA027
2021,1,M7011,340203,2,19:00,21:00,L,,,560090,TESA-M7P37,TÈCNIQUES EXPERIMENTALS I DE SIMULACIÓ D'ANÀLISI DE TENSIONS,M,VGA027
2021,1,M50,340050,2,10:30,12:30,T,,,563764,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA209
2021,1,M50,340050,3,12:30,14:30,T,1,1,560051,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGB001
2021,1,M50,340050,3,12:30,14:30,T,2,,560050,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGB001
2021,1,M5011,340050,5,8:30,10:30,L,1,1,560057,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA024
2021,1,M5012,340050,3,12:30,14:30,L,1,2,560325,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA024
2021,1,M5021,340050,5,8:30,10:30,L,1,2,560066,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA024
2021,1,M51,340050,4,17:00,19:00,T,,,560073,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA214
2021,1,M51,340050,5,15:00,17:00,T,2,2,560072,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA210
2021,1,M51,340050,5,15:00,17:00,T,1,,560071,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA210
2021,1,M5111,340050,5,17:00,19:00,L,2,1,560078,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA024
2021,1,M5112,340050,5,15:00,17:00,L,2,1,560088,TEMA-M5O12,TEORIA DE MÀQUINES,M,VGA024
2021,1,D70,340280,1,8:30,10:30,T,,,560387,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGA212
2021,1,D70,340280,3,10:30,12:30,T,1,,560410,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGA207
2021,1,D7011,340280,3,10:30,12:30,L,2,,560653,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGA207
2021,1,D7012,340280,3,12:30,14:30,L,2,,560631,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGA207
2021,1,D71,340280,1,17:00,19:00,T,1,,560380,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGB104
2021,1,D71,340280,2,17:00,19:00,T,,,560467,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGB104
2021,1,D7111,340280,1,19:00,21:00,L,1,,560751,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGB104
2021,1,D7112,340280,1,17:00,19:00,L,2,,560284,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,D,VGB104
2021,1,E70,340280,1,8:30,10:30,T,,,560388,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGA212
2021,1,E70,340280,3,10:30,12:30,T,1,,560411,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGA207
2021,1,E7011,340280,3,10:30,12:30,L,2,,560654,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGA207
2021,1,E7012,340280,3,12:30,14:30,L,2,,560635,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGA207
2021,1,E71,340280,1,17:00,19:00,T,1,,560382,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGB104
2021,1,E71,340280,2,17:00,19:00,T,,,560321,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGB104
2021,1,E7111,340280,1,19:00,21:00,L,1,,560657,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGB104
2021,1,E7112,340280,1,17:00,19:00,L,2,,560289,TEEE-O7P36,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,E,VGB104
